Año,Mes,Variación Mensual
1954,Jul,
1954,Jul,
1954,Jul,
1954,Jul,
1954,Ago,"-,76"
1954,Ago,"-,50"
1954,Ago,"-,89"
1954,Ago,"-,89"
1954,Sep,"-,90"
1954,Sep,"-1,59"
1954,Sep,"-1,59"
1954,Sep,"-1,37"
1954,Oct,",34"
1954,Oct,",41"
1954,Oct,",30"
1954,Oct,",30"
1954,Nov,",20"
1954,Nov,",30"
1954,Nov,",30"
1954,Nov,",27"
1954,Dic,",40"
1954,Dic,",40"
1954,Dic,",81"
1954,Dic,",54"
1955,Ene,"-,20"
1955,Ene,"-,20"
1955,Ene,"-,10"
1955,Ene,"-,17"
1955,Feb,"-,10"
1955,Feb,"-,10"
1955,Feb,
1955,Feb,"-,07"
1955,Mar,",40"
1955,Mar,",40"
1955,Mar,",40"
1955,Mar,",40"
1955,Abr,",70"
1955,Abr,",50"
1955,Abr,",80"
1955,Abr,",80"
1955,May,"-,30"
1955,May,"-,50"
1955,May,"-,50"
1955,May,"-,43"
1955,Jun,"-,20"
1955,Jun,",20"
1955,Jun,"-,20"
1955,Jun,"-,07"
1955,Jul,"-,23"
1955,Jul,"-,10"
1955,Jul,"-,30"
1955,Jul,"-,30"
1955,Ago,
1955,Ago,",30"
1955,Ago,
1955,Ago,",10"
1955,Sep,"-,60"
1955,Sep,"-,53"
1955,Sep,"-,40"
1955,Sep,"-,60"
1955,Oct,",40"
1955,Oct,",20"
1955,Oct,",20"
1955,Oct,",27"
1955,Nov,",94"
1955,Nov,"1,11"
1955,Nov,"1,11"
1955,Nov,",59"
1955,Dic,",98"
1955,Dic,"1,19"
1955,Dic,"1,19"
1955,Dic,"1,12"
1956,Ene,"-,10"
1956,Ene,"-,10"
1956,Ene,"-,10"
1956,Ene,"-,10"
1956,Feb,",39"
1956,Feb,",39"
1956,Feb,",39"
1956,Feb,",39"
1956,Mar,",91"
1956,Mar,",58"
1956,Mar,"1,08"
1956,Mar,"1,08"
1956,Abr,",68"
1956,Abr,",68"
1956,Abr,",58"
1956,Abr,",65"
1956,May,",86"
1956,May,",74"
1956,May,",67"
1956,May,",67"
1956,Jun,",92"
1956,Jun,",67"
1956,Jun,"1,05"
1956,Jun,"1,05"
1956,Jul,",76"
1956,Jul,",76"
1956,Jul,",85"
1956,Jul,",79"
1956,Ago,"-,47"
1956,Ago,"-,09"
1956,Ago,"-,66"
1956,Ago,"-,66"
1956,Sep,",88"
